Date,Open,High,Low,Close,Adj Close,Volume
2017-11-28,194.940002,196.360001,194.429993,196.300003,193.245499,1650500
2017-11-29,196.360001,197.179993,191.759995,192.619995,189.622726,2183000
2017-11-30,193.690002,194.789993,191.850006,192.759995,189.760513,2497500
2017-12-01,192.779999,193.490005,189.190002,192.199997,189.209244,1335400
2017-12-04,191.000000,191.259995,181.539993,182.029999,179.197495,3926800
2017-12-05,182.589996,184.380005,181.509995,182.449997,179.610962,2229200
2017-12-06,182.639999,184.029999,181.589996,183.869995,181.008865,2262900
2017-12-07,183.889999,185.759995,183.649994,185.630005,182.741470,1550100
2017-12-08,186.220001,188.899994,185.860001,187.960007,185.035217,2437700
2017-12-11,188.570007,189.619995,187.179993,189.490005,186.541397,1423700
2017-12-12,189.410004,189.899994,187.619995,189.490005,186.541397,1301100
2017-12-13,189.860001,191.970001,189.539993,191.470001,188.490585,1447300
2017-12-14,191.289993,193.080002,188.199997,188.320007,185.534958,2158700
2017-12-15,189.479996,192.679993,189.410004,192.270004,189.426590,3851200
2017-12-18,193.309998,194.520004,192.880005,193.570007,190.707306,1305300
2017-12-19,194.250000,195.350006,192.699997,193.889999,191.022583,1552700
2017-12-20,194.779999,194.779999,190.940002,192.289993,189.446243,1492000
2017-12-21,192.850006,193.559998,190.960007,191.130005,188.303406,1185800
2017-12-22,190.910004,191.119995,189.089996,190.419998,187.603912,1093600
2017-12-26,190.720001,191.149994,189.929993,190.339996,187.525070,467400
2017-12-27,190.690002,191.229996,190.179993,191.169998,188.342850,671600
2017-12-28,190.940002,191.979996,190.259995,191.169998,188.342850,675500
2017-12-29,191.940002,191.949997,189.880005,189.880005,187.071884,856600
2018-01-02,190.800003,193.490005,190.380005,192.979996,190.126053,1140900
2018-01-03,192.210007,196.669998,191.179993,196.520004,193.613708,1458300
2018-01-04,197.149994,199.600006,196.669998,198.979996,196.037292,1566400
2018-01-05,200.000000,202.649994,199.210007,202.389999,199.396912,1469500
2018-01-08,202.389999,203.240005,200.199997,202.720001,199.722015,1974600
2018-01-09,204.750000,206.919998,203.399994,206.100006,203.052032,1845200
2018-01-10,204.800003,206.619995,201.960007,206.289993,203.239182,1421200
2018-01-11,206.949997,208.720001,205.960007,208.660004,205.574142,1520600
2018-01-12,208.889999,211.539993,207.789993,210.169998,207.061813,1486500
2018-01-16,211.809998,211.809998,207.509995,208.009995,204.933762,2264300
2018-01-17,209.559998,211.669998,208.300003,211.479996,208.352448,1461700
2018-01-18,211.399994,213.059998,210.520004,212.410004,209.268692,1458500
2018-01-19,213.949997,214.570007,212.360001,213.509995,210.352402,1439900
2018-01-22,214.009995,215.330002,212.770004,215.320007,212.135681,1230300
2018-01-23,215.580002,217.220001,214.250000,214.550003,211.377060,1267000
2018-01-24,215.020004,216.669998,213.000000,215.320007,212.135681,1227400
2018-01-25,216.369995,218.740005,215.009995,217.880005,214.657806,1668400
2018-01-26,218.169998,219.779999,216.729996,219.779999,216.529678,1162000
2018-01-29,219.399994,220.100006,218.589996,218.809998,215.574066,1042800
2018-01-30,215.990005,216.279999,212.539993,214.619995,211.445984,1921700
2018-01-31,223.460007,226.000000,219.699997,224.110001,220.795685,3414200
2018-02-01,224.160004,226.440002,219.610001,222.360001,219.071564,1912800
2018-02-02,220.110001,220.779999,217.559998,217.690002,214.470612,1992400
2018-02-05,216.710007,219.259995,207.809998,208.309998,205.229309,2387600
2018-02-06,205.000000,211.100006,201.619995,209.479996,206.382034,2415300
2018-02-07,208.339996,211.199997,206.130005,207.550003,204.480530,1653000
2018-02-08,207.320007,209.990005,198.690002,198.729996,195.791031,2196600
2018-02-09,200.539993,202.389999,194.509995,200.179993,197.219589,2074300
2018-02-12,202.000000,206.130005,201.520004,204.509995,201.485580,1528200
2018-02-13,203.509995,204.470001,200.860001,203.500000,200.490448,1222700
2018-02-14,201.860001,208.809998,201.720001,208.309998,205.229309,1412300
2018-02-15,210.339996,210.750000,206.619995,210.720001,207.603714,1080800
2018-02-16,210.259995,212.690002,209.350006,210.610001,207.495331,895800
2018-02-20,208.899994,210.949997,207.300003,207.839996,204.766251,1127700
2018-02-21,208.300003,213.639999,208.300003,209.789993,206.687454,1021300
2018-02-22,210.800003,213.630005,208.699997,209.130005,206.037216,1230600
2018-02-23,209.970001,211.839996,208.399994,211.710007,208.579056,827300
2018-02-26,212.179993,214.210007,211.210007,214.070007,210.904190,990600
2018-02-27,213.919998,214.869995,210.460007,210.679993,207.564270,1067000
2018-02-28,211.410004,213.479996,208.500000,208.580002,205.495346,1099300
2018-03-01,208.639999,208.800003,202.820007,205.210007,202.175201,1419500
2018-03-02,203.669998,206.990005,201.820007,206.440002,203.386978,1228600
2018-03-05,204.509995,207.929993,202.070007,206.759995,203.702240,1228500
2018-03-06,208.070007,210.330002,206.660004,210.119995,207.012573,1007100
2018-03-07,207.339996,212.460007,207.339996,212.160004,209.022400,1225500
2018-03-08,212.699997,212.729996,210.009995,211.699997,208.569229,868700
2018-03-09,213.250000,218.080002,212.360001,217.889999,214.667664,1594600
2018-03-12,218.699997,219.940002,216.929993,217.490005,214.273575,2268400
2018-03-13,219.130005,219.669998,214.899994,215.119995,211.938614,1483000
